-----------------------------------------------------------------------------------------
X	Y	year	month	day	Mag	Z(m)	hr	min	sec	stage
335849	432676	2019	8	15	-0.811	-2050.78	10	57	24	1
335828	432774	2019	8	15	-1.475	-2060.1	10	57	25	1
335825	432745	2019	8	15	-1.395	-2126.19	10	57	26	1
335839	432752	2019	8	15	-1.25	-2106.91	10	57	30	1
335849	432755	2019	8	15	-1.411	-2116.6	10	57	36	1
335854	432723	2019	8	15	-1.444	-2101.03	10	57	38	1
335820	432711	2019	8	15	-0.746	-2054.58	10	57	40	1
335843	432885	2019	8	15	-1.185	-2145.61	10	57	41	1
335855	432736	2019	8	15	-1.013	-2134.26	10	57	44	1
335855	432747	2019	8	15	-1.251	-2115.39	10	57	45	1
335841	432724	2019	8	15	-0.852	-2104.13	10	57	46	1
335822	432797	2019	8	15	-1.286	-2041.54	10	57	57	1
335856	432734	2019	8	15	-1.48	-2088.18	10	58	0	1
335867	432816	2019	8	15	-1.432	-2110.79	10	58	8	1
335837	432734	2019	8	15	-1.393	-2147.38	10	58	9	1
335849	432712	2019	8	15	-1.483	-2075.62	10	58	9	1
335851	432679	2019	8	15	-1.239	-2066.83	10	58	12	1
335821	432829	2019	8	15	-0.669	-2134.06	10	58	22	1
335828	432804	2019	8	15	-1.4	-2125.79	10	58	26	1
335844	432750	2019	8	15	-1.293	-2114.97	10	58	32	1
335832	432679	2019	8	15	-1.632	-2101.13	10	58	33	1
335863	432789	2019	8	15	-1.447	-2121.22	10	58	34	1
335834	432741	2019	8	15	-1.541	-2058.63	10	58	35	1
335924	432916	2019	8	15	-1.611	-2107.78	10	58	35	1
335832	432713	2019	8	15	-1.388	-2147.64	10	58	36	1
335849	432738	2019	8	15	-1.436	-2119.98	10	58	41	1
335846	432713	2019	8	15	-1.455	-2050.16	10	58	45	1
335838	432782	2019	8	15	-1.474	-2048.28	10	58	48	1
335877	432637	2019	8	15	-1.409	-2088.68	10	58	52	1
335817	432602	2019	8	15	-1.443	-2117.96	10	58	53	1
335847	432775	2019	8	15	-1.362	-2103.05	10	58	56	1
335843	432770	2019	8	15	-1.273	-2131	10	58	57	1
335869	432702	2019	8	15	-1.308	-2091.84	10	58	58	1
335869	432754	2019	8	15	-1.532	-2134.65	10	58	59	1
335826	432683	2019	8	15	-1.461	-2079.01	10	59	6	1
335846	432732	2019	8	15	-0.6	-2054.97	10	59	11	1
335877	432701	2019	8	15	-1.346	-2088.81	10	59	15	1
335836	432689	2019	8	15	-0.565	-2071.85	10	59	17	1
335837	432798	2019	8	15	-0.969	-2119	10	59	18	1
335855	432722	2019	8	15	-1.077	-2048.64	10	59	18	1
335870	432734	2019	8	15	-1.488	-2134.48	10	59	21	1
335843	432641	2019	8	15	-1.254	-2043.26	10	59	24	1
335841	432767	2019	8	15	-1.316	-2148.31	10	59	25	1
335820	432749	2019	8	15	-1.364	-2118.57	10	59	29	1
335935	432671	2019	8	15	-1.263	-2147.89	10	59	29	1
335850	432676	2019	8	15	-1.118	-2041.09	10	59	30	1
335844	432692	2019	8	15	-1.229	-2075.53	10	59	31	1
335849	432702	2019	8	15	-1.59	-2029.66	10	59	33	1
335889	432724	2019	8	15	-1.379	-2136	10	59	35	1
335836	432838	2019	8	15	-1.462	-2091.4	10	59	36	1
335829	432764	2019	8	15	-1.582	-2111.65	10	59	39	1
335843	432744	2019	8	15	-0.995	-2100.44	10	59	40	1
335854	432636	2019	8	15	-1.155	-2092.08	10	59	41	1
335826	432827	2019	8	15	-1.139	-2114.5	10	59	43	1
335889	432744	2019	8	15	-1.428	-2130.22	10	59	43	1
335840	432683	2019	8	15	-1.383	-2063.28	10	59	44	1
335834	432678	2019	8	15	-1.404	-2047.79	10	59	47	1
335834	432629	2019	8	15	-1.307	-2048.54	10	59	51	1
335838	432755	2019	8	15	-1.478	-2116.95	10	59	53	1
335829	432758	2019	8	15	-1.084	-2106.08	10	59	54	1
335845	432652	2019	8	15	-1.254	-2103.02	10	59	57	1
335855	432753	2019	8	15	-0.851	-2127.31	10	59	57	1
335815	432804	2019	8	15	-0.306	-2131.34	10	59	59	1
335856	432644	2019	8	15	-0.888	-2058.31	11	0	0	1
335841	432763	2019	8	15	-1.247	-2112.32	11	0	2	1
335842	432653	2019	8	15	-1.133	-2068.72	11	0	4	1
335828	432643	2019	8	15	-1.17	-2059.04	11	0	5	1
335923	432659	2019	8	15	-1.286	-2088.94	11	0	8	1
335842	432679	2019	8	15	-1.176	-2061.33	11	0	10	1
335855	432631	2019	8	15	-1.355	-2088.45	11	0	11	1
335866	432639	2019	8	15	-1.475	-2128.76	11	0	14	1
335836	432752	2019	8	15	-1.035	-2106.8	11	0	15	1
335850	432688	2019	8	15	-0.981	-2073.72	11	0	17	1
335840	432693	2019	8	15	-1.445	-2035.78	11	0	18	1
335845	432846	2019	8	15	-1.357	-2105.73	11	0	20	1
335840	432659	2019	8	15	-1.337	-2036.84	11	0	20	1
335837	432702	2019	8	15	-1.288	-2098.61	11	0	22	1
335869	432556	2019	8	15	-1.597	-2088.69	11	0	24	1
335853	432749	2019	8	15	-1.247	-2114.75	11	0	25	1
335832	432729	2019	8	15	-1.125	-2080.25	11	0	27	1
335840	432794	2019	8	15	-1.198	-2112.62	11	0	28	1
335897	432732	2019	8	15	-1.456	-2135.1	11	0	29	1
335851	432668	2019	8	15	-0.922	-2084.49	11	0	30	1
335901	432721	2019	8	15	-1.35	-2088.41	11	0	31	1
335839	432748	2019	8	15	-1.356	-2104.66	11	0	31	1
335818	432812	2019	8	15	-0.724	-2132.45	11	0	33	1
335838	432751	2019	8	15	-1.3	-2085.99	11	0	35	1
335887	432679	2019	8	15	-1.405	-2134.94	11	0	36	1
335846	432801	2019	8	15	-1.193	-2132.32	11	0	37	1
335866	432627	2019	8	15	-1.514	-2088.99	11	0	39	1
335842	432785	2019	8	15	-1.348	-2131.01	11	0	41	1
335841	432700	2019	8	15	-1.107	-2105.23	11	0	42	1
335840	432725	2019	8	15	-0.683	-2110.79	11	0	42	1
335849	432655	2019	8	15	-0.888	-2071.87	11	0	45	1
335881	432817	2019	8	15	-1.399	-2097.91	11	0	46	1
335820	432803	2019	8	15	-1.411	-2122.1	11	0	47	1
335859	432747	2019	8	15	-1.533	-2077.21	11	0	49	1
335843	432696	2019	8	15	-1.326	-2119.17	11	0	50	1
335850	432722	2019	8	15	-1.213	-2085.69	11	0	51	1
335852	432692	2019	8	15	-1.352	-2080.75	11	0	52	1
335863	432625	2019	8	15	-1.231	-2087.42	11	0	52	1
335844	432710	2019	8	15	-1.443	-2119.47	11	0	53	1
335831	432732	2019	8	15	-1.623	-2071.71	11	0	54	1
335842	432791	2019	8	15	-1.407	-2122.75	11	0	56	1
335847	432729	2019	8	15	-1.388	-2107.73	11	0	57	1
335855	432714	2019	8	15	-0.986	-2081.05	11	0	59	1
335842	432735	2019	8	15	-1.292	-2129.26	11	1	0	1
335842	432743	2019	8	15	-1.165	-2123.05	11	1	0	1
335845	432757	2019	8	15	-1.245	-2107.86	11	1	4	1
335834	432668	2019	8	15	-1.131	-2054.65	11	1	5	1
335853	432708	2019	8	15	-0.922	-2099.56	11	1	7	1
335873	432691	2019	8	15	-1.716	-2110.24	11	1	11	1
335846	432639	2019	8	15	-0.798	-2060.47	11	1	12	1
335853	432700	2019	8	15	-1.148	-2078.4	11	1	12	1
335837	432747	2019	8	15	-1.016	-2101.34	11	1	13	1
335854	432695	2019	8	15	-1.104	-2057.29	11	1	14	1
335820	432709	2019	8	15	-0.8	-2054.32	11	1	15	1
335849	432678	2019	8	15	-1.053	-2071.27	11	1	18	1
335857	432745	2019	8	15	-0.787	-2122.1	11	1	23	1
335726	432741	2019	8	15	-0.918	-2146.65	11	1	24	1
335847	432670	2019	8	15	-1.039	-2065.03	11	1	25	1
335908	432792	2019	8	15	-1.468	-2134.46	11	1	26	1
335856	432680	2019	8	15	-0.737	-2089.34	11	1	27	1
335835	432633	2019	8	15	-1.442	-2048.69	11	1	28	1
335885	432751	2019	8	15	-1.497	-2048.46	11	1	30	1
335853	432671	2019	8	15	-0.803	-2076.95	11	1	33	1
335874	432809	2019	8	15	-1.466	-2124.01	11	1	34	1
335833	432775	2019	8	15	-1.179	-2047.71	11	1	35	1
335851	432775	2019	8	15	-1.191	-2137.43	11	1	36	1
335847	432670	2019	8	15	-0.996	-2076.79	11	1	39	1
335852	432685	2019	8	15	-1.493	-2067.07	11	1	40	1
335869	432716	2019	8	15	-1.607	-2053.46	11	1	40	1
335853	432660	2019	8	15	-1.271	-2044.43	11	1	41	1
335860	432674	2019	8	15	-0.902	-2079.11	11	1	42	1
335846	432653	2019	8	15	-1.31	-2051.68	11	1	43	1
335841	432668	2019	8	15	-0.897	-2042.46	11	1	44	1
335850	432663	2019	8	15	-0.937	-2076.24	11	1	48	1
335858	432690	2019	8	15	-0.94	-2082	11	1	48	1
335850	432688	2019	8	15	-0.831	-2080.4	11	1	52	1
335837	432761	2019	8	15	-1.267	-2131.55	11	1	53	1
335854	432727	2019	8	15	-1.389	-2110.72	11	1	54	1
335851	432665	2019	8	15	-0.958	-2063.65	11	1	55	1
335843	432809	2019	8	15	-1.379	-2120.81	11	1	56	1
335845	432675	2019	8	15	-1.136	-2072.11	11	1	58	1
335852	432685	2019	8	15	-1.485	-2020.13	11	1	59	1
335853	432652	2019	8	15	-0.587	-2074.56	11	2	0	1
335851	432683	2019	8	15	-1.044	-2080.72	11	2	3	1
335817	432800	2019	8	15	-1.306	-2127.13	11	2	4	1
