    205      315 1192.0600 5.445 0.000 102.209 28.064
    206        8 1193.3200 4.704 -3000.000 102.276 29.250
    207     2219 1194.0500 5.168 0.000 102.728 27.071
    208        9 1195.5100 4.703 -6000.000 102.276 29.250
    209     1933 1195.9300 4.713 -3000.000 102.862 23.355
    210      315 1196.7300 4.746 0.000 102.209 28.064
    211       31 1198.7200 4.720 -9000.000 102.272 29.169
    212     1947 1200.2100 4.701 -3000.000 102.844 23.304
    213     1267 1200.9500 5.159 0.000 103.256 25.885
    214     1275 1205.9000 4.716 -3000.000 103.268 25.860
    215     2002 1210.6200 4.749 0.000 102.296 27.815
    216      994 1212.4100 5.000 0.000 102.863 26.873
    217     1260 1214.5900 5.159 0.000 103.245 25.910
    218      364 1216.6900 4.749 0.000 102.317 29.203
    219      371 1221.8500 4.742 0.000 102.331 29.179
    220     1855 1222.1200 4.746 0.000 102.966 23.637
    221     1953 1222.8700 5.001 0.000 102.834 23.278
    222     2219 1223.3100 5.005 0.000 102.728 27.071
    223     1841 1224.7800 4.746 0.000 102.985 23.688
    224       70 1226.4300 5.185 0.000 102.262 29.007
    225       30 1226.6500 4.720 -6000.000 102.272 29.169
    226     1933 1227.2600 5.429 -3000.000 102.862 23.355
    227       17 1228.0300 4.720 -9000.000 102.275 29.223
    228      308 1228.1100 4.755 0.000 102.204 28.090
    229       70 1228.8100 4.754 0.000 102.262 29.007
    230     1995 1229.6700 5.254 0.000 102.283 27.840
    231      994 1233.2200 4.744 0.000 102.863 26.873
    232     1933 1233.8000 5.755 -3000.000 102.862 23.355
    233      315 1234.0500 4.988 0.000 102.209 28.064
    234     1275 1234.7600 5.368 -3000.000 103.268 25.860
    235     1792 1235.5400 4.746 0.000 103.051 23.868
    236     1934 1237.1800 4.712 -6000.000 102.862 23.355
    237     1918 1237.4000 4.746 0.000 102.881 23.406
    238        8 1241.9900 4.704 -3000.000 102.276 29.250
    239     1946 1242.4300 4.743 0.000 102.844 23.304
    240     1940 1243.0500 4.970 -3000.000 102.853 23.329
    241     1995 1245.8200 5.004 0.000 102.283 27.840
    242        9 1247.5200 4.958 -6000.000 102.276 29.250
    243     1001 1249.8500 4.745 0.000 102.878 26.850
    244      364 1251.9100 5.001 0.000 102.317 29.203
    245     1925 1252.3100 4.745 0.000 102.872 23.381
    246      309 1252.4900 4.721 -3000.000 102.204 28.090
    247     1890 1252.5700 4.748 0.000 102.919 23.509
    248       42 1254.2000 5.901 0.000 102.268 29.115
    249     1275 1256.9700 6.174 -3000.000 103.268 25.860
    250      105 1257.8200 5.719 0.000 102.252 28.872
    251      994 1257.9200 4.744 0.000 102.863 26.873
    252     1778 1258.1000 4.746 0.000 103.070 23.919
    253       21 1258.1600 6.129 0.000 102.273 29.196
    254     1855 1259.7000 5.757 0.000 102.966 23.637
    255      308 1259.9100 5.177 0.000 102.204 28.090
    256     1918 1261.5700 4.746 0.000 102.881 23.406
    257     1841 1262.5600 4.746 0.000 102.985 23.688
    258     2226 1263.4800 5.005 0.000 102.744 27.048
    259     1939 1264.3500 5.721 0.000 102.853 23.329
    260      322 1265.5100 5.437 0.000 102.214 28.037
    261       17 1265.8800 4.976 -9000.000 102.275 29.223
    262       22 1271.6700 5.765 -3000.000 102.273 29.196
    263     1869 1271.7200 5.454 0.000 102.947 23.586
    264     1940 1272.0400 4.715 -3000.000 102.853 23.329
    265     1953 1272.1300 4.748 0.000 102.834 23.278
    266     1792 1273.7300 4.746 0.000 103.051 23.868
    267     1988 1276.2700 5.183 0.000 102.271 27.864
    268     1935 1277.8000 4.712 -9000.000 102.862 23.355
    269     1001 1278.7300 4.745 0.000 102.878 26.850
    270     1988 1278.8200 4.750 0.000 102.271 27.864
    271      994 1282.6000 4.744 0.000 102.863 26.873
    272     2009 1283.2700 5.002 0.000 102.309 27.791
    273     2227 1283.3900 4.713 -3000.000 102.744 27.048
    274       24 1284.3500 4.719 -9000.000 102.273 29.196
    275     1939 1285.2500 5.338 0.000 102.853 23.329
    276     1989 1285.7900 4.717 -3000.000 102.271 27.864
    277     2212 1286.0600 4.747 0.000 102.712 27.094
    278       26 1287.0700 4.719 -15000.000 102.273 29.196
    279     1925 1289.5600 4.745 0.000 102.872 23.381
    280     1890 1289.7600 5.001 0.000 102.919 23.509
    281     2226 1289.9500 4.746 0.000 102.744 27.048
    282     1953 1290.3000 4.748 0.000 102.834 23.278
    283     1939 1290.6900 4.748 0.000 102.853 23.329
    284     1926 1292.7200 4.703 -3000.000 102.872 23.381
    285      322 1293.1800 5.007 0.000 102.214 28.037
    286       49 1293.7400 5.010 0.000 102.267 29.088
    287     1806 1293.8600 4.746 0.000 103.032 23.817
    288     1827 1294.2200 4.748 0.000 103.004 23.740
    289     1855 1296.2700 4.746 0.000 102.966 23.637
    290     1996 1296.7200 4.705 -3000.000 102.283 27.840
    291     1778 1296.8900 4.746 0.000 103.070 23.919
    292     1904 1297.4500 4.748 0.000 102.900 23.457
    293     1946 1298.3000 4.743 0.000 102.844 23.304
    294     1267 1298.7600 4.750 0.000 103.256 25.885
    295     1934 1299.1800 5.889 -6000.000 102.862 23.355
    296        1 1300.2400 5.376 -3000.000 102.278 29.277
    297     2219 1300.4900 4.749 0.000 102.728 27.071
    298      287 1302.0900 5.280 0.000 102.197 28.171
    299     2100 1302.4500 4.748 0.000 102.476 27.471
    300     2228 1302.5100 4.712 -6000.000 102.744 27.048
    301       28 1302.5500 4.754 0.000 102.272 29.169
    302     1925 1304.2500 4.745 0.000 102.872 23.381
    303     2065 1304.6400 4.748 0.000 102.412 27.594
    304     2220 1305.3800 4.707 -3000.000 102.728 27.071
    305       37 1306.2400 4.704 -6000.000 102.270 29.142
    306       32 1306.3500 5.432 -12000.000 102.272 29.169
    307     1001 1307.6000 5.000 0.000 102.878 26.850
    308     1869 1309.6200 4.746 0.000 102.947 23.586
    309     1792 1310.9700 4.746 0.000 103.051 23.868
