    153      344 240.3420 4.717 -3000.000 102.278 29.277
    154     1963 241.1160 4.701 -9000.000 102.825 23.252
    155      343 241.5090 4.750 0.000 102.278 29.277
    156        3 241.5450 4.720 -9000.000 102.278 29.277
    157     1965 241.7340 4.700 -15000.000 102.825 23.252
    158     1966 242.1950 4.700 -18000.000 102.825 23.252
    159      347 242.2360 4.716 -12000.000 102.278 29.277
    160     2253 242.9280 4.705 -18000.000 102.791 26.979
    161        2 242.9720 4.720 -6000.000 102.278 29.277
    162       13 243.4400 4.968 -18000.000 102.276 29.250
    163     1964 243.6060 4.956 -12000.000 102.825 23.252
    164      348 244.2170 4.716 -15000.000 102.278 29.277
    165     1960 244.3750 4.743 0.000 102.825 23.252
    166     1961 244.7120 4.701 -3000.000 102.825 23.252
    167        0 244.9150 4.754 0.000 102.278 29.277
    168      346 245.2400 4.716 -9000.000 102.278 29.277
    169      979 245.3190 4.702 -18000.000 102.816 26.943
    170        1 246.0480 4.721 -3000.000 102.278 29.277
    171     1963 246.1950 4.701 -9000.000 102.825 23.252
    172        4 246.6150 4.720 -12000.000 102.278 29.277
    173      345 246.7770 4.716 -6000.000 102.278 29.277
    174     1965 246.9500 4.956 -15000.000 102.825 23.252
    175        5 247.7380 4.720 -15000.000 102.278 29.277
    176     1964 248.9620 4.701 -12000.000 102.825 23.252
    177      344 249.0680 4.717 -3000.000 102.278 29.277
    178     1973 249.3720 4.704 -18000.000 102.232 27.938
    179      349 249.8130 4.716 -18000.000 102.278 29.277
    180        3 250.1430 4.720 -9000.000 102.278 29.277
    181      342 250.1440 4.720 -18000.000 102.224 27.983
    182      347 250.9070 4.716 -12000.000 102.278 29.277
    183     1960 250.9670 5.514 0.000 102.825 23.252
    184      343 251.5870 4.750 0.000 102.278 29.277
    185        2 251.6060 4.720 -6000.000 102.278 29.277
    186      979 252.6740 4.702 -18000.000 102.816 26.943
    187       13 252.7270 5.127 -18000.000 102.276 29.250
    188      346 253.9740 4.716 -9000.000 102.278 29.277
    189        0 254.8200 4.991 0.000 102.278 29.277
