-----------------------------------------------------------------------------------------
Lon	Lat	year	month	day	Mag	Z(km)	hr	min	sec	
-----------------------------------------------------------------------------------------
-2.97446	53.7859	2018	10	16	-1.031	-2.32619	14	3	20
-2.97467	53.7856	2018	10	16	-0.988	-2.32523	14	3	27
-2.97381	53.7858	2018	10	16	-1.196	-2.30453	14	3	28
-2.97404	53.7856	2018	10	16	-1.514	-2.36615	14	3	32
-2.97451	53.7854	2018	10	16	-0.768	-2.34038	14	3	35
-2.97463	53.7857	2018	10	16	-1.488	-2.35333	14	3	37
-2.97472	53.7856	2018	10	16	-1.149	-2.33977	14	3	38
-2.97539	53.7854	2018	10	16	-0.955	-2.3087	14	3	39
-2.97427	53.7858	2018	10	16	-1.504	-2.34258	14	3	41
-2.97455	53.7855	2018	10	16	-1.468	-2.34879	14	3	43
-2.97421	53.7855	2018	10	16	-1.412	-2.34237	14	3	47
-2.97436	53.7856	2018	10	16	-0.859	-2.34204	14	3	49
-2.97475	53.7857	2018	10	16	-1.419	-2.33573	14	3	50
-2.97402	53.7855	2018	10	16	-1.038	-2.3594	14	3	56
-2.97442	53.7855	2018	10	16	-1.187	-2.33803	14	3	57
-2.97387	53.7856	2018	10	16	-1.233	-2.34964	14	4	1
-2.9749	53.7856	2018	10	16	-1.668	-2.28532	14	4	2
-2.97479	53.7853	2018	10	16	-0.287	-2.33422	14	4	5
-2.97454	53.7855	2018	10	16	-0.781	-2.33977	14	4	7
-2.97419	53.7859	2018	10	16	-1.505	-2.38665	14	4	8
-2.97468	53.7856	2018	10	16	-1.39	-2.35521	14	4	10
-2.97601	53.7854	2018	10	16	-1.398	-2.3182	14	4	15
-2.97498	53.7859	2018	10	16	-1.186	-2.34132	14	4	27
-2.97372	53.7856	2018	10	16	-1.452	-2.38216	14	4	28
