t,Magnitude,Latitude,Longitude,Depth,dt
1304.25,4.745,23.381,102.872,0.0,0.39000000000010004
1304.64,4.748,27.594,102.412,0.0,0.7400000000000091
1305.38,4.707,27.071,102.728,-3000.0,0.8599999999999
1306.24,4.704,29.142,102.27,-6000.0,0.10999999999989996
1306.35,5.432,29.169,102.272,-12000.0,1.25
1307.6,5.0,26.85,102.878,0.0,2.019999999999982
1309.62,4.746,23.586,102.947,0.0,1.3500000000001364
1310.97,4.746,23.868,103.051,0.0,0.2300000000000182
1311.2,4.748,23.509,102.919,0.0,0.9900000000000091
1312.19,4.754,29.277,102.278,0.0,0.34999999999990905
1312.54,4.709,29.179,102.331,-3000.0,3.8600000000001273
1316.4,4.743,23.304,102.844,0.0,0.15999999999985448
1316.56,4.716,25.86,103.268,-3000.0,0.20000000000004547
1316.76,5.178,23.432,102.891,0.0,0.2699999999999818
1317.03,5.006,27.84,102.283,0.0,0.21000000000003638
1317.24,4.75,25.779,103.263,0.0,1.9400000000000546
1319.18,4.972,27.864,102.271,-6000.0,0.4199999999998454
1319.6,4.713,27.048,102.744,-3000.0,0.2800000000002001
1319.88,4.746,23.355,102.862,0.0,0.33999999999991815
1320.22,4.714,23.329,102.853,-9000.0,0.9200000000000728
1321.14,4.711,26.873,102.863,-3000.0,0.06999999999993634
1321.21,5.247,29.115,102.268,0.0,0.35999999999989996
1321.57,5.003,27.048,102.744,0.0,0.2899999999999636
1321.86,4.72,29.169,102.272,-9000.0,0.39000000000010004
1322.25,5.008,28.064,102.209,0.0,0.0
1322.25,4.717,25.885,103.256,-3000.0,0.2400000000000091
1322.49,4.742,25.935,103.233,0.0,3.980000000000018
1326.47,5.338,29.25,102.276,-6000.0,0.10999999999989996
1326.58,5.006,25.885,103.256,0.0,1.509999999999991
1328.09,4.748,23.56,102.938,0.0,0.2599999999999909
1328.35,4.75,29.253,102.291,0.0,0.5800000000001546
1328.93,4.747,27.791,102.309,0.0,0.8799999999998818
1329.81,4.748,23.509,102.919,0.0,0.15000000000009095
1329.96,4.746,23.637,102.966,0.0,0.21000000000003638
1330.17,4.745,26.85,102.878,0.0,0.5699999999999363
1330.74,4.745,23.381,102.872,0.0,0.42000000000007276
1331.16,4.748,23.74,103.004,0.0,0.09999999999990905
1331.26,4.705,27.84,102.283,-3000.0,0.08999999999991815
1331.35,5.007,28.872,102.252,0.0,1.6000000000001364
1332.95,4.746,23.817,103.032,0.0,0.0
1332.95,4.721,28.09,102.204,-6000.0,0.6699999999998454
1333.62,5.249,23.355,102.862,-6000.0,0.7000000000000455
1334.32,5.431,27.071,102.728,0.0,0.3500000000001364
1334.67,5.293,29.034,102.264,0.0,0.599999999999909
1335.27,5.855,23.432,102.891,0.0,0.36000000000012733
1335.63,5.273,23.919,103.07,0.0,0.16999999999984539
1335.8,4.754,29.169,102.272,0.0,0.37000000000011823
1336.17,4.721,29.277,102.278,-3000.0,0.049999999999954525
1336.22,4.97,29.142,102.27,-9000.0,0.08999999999991815
1336.31,4.746,23.586,102.947,0.0,1.0700000000001637
1337.38,4.747,27.889,102.258,0.0,0.31999999999993634
1337.7,4.704,29.061,102.265,-3000.0,0.7000000000000455
1338.4,4.96,28.064,102.209,-3000.0,0.34999999999990905
1338.75,4.716,25.86,103.268,-3000.0,0.13000000000010914
1338.88,5.005,27.84,102.283,0.0,0.37999999999988177
1339.26,5.28,28.198,102.196,0.0,1.349999999999909
1340.61,4.712,27.048,102.744,-6000.0,1.9400000000000546
1342.55,4.744,26.873,102.863,0.0,0.2599999999999909
1342.81,5.349,28.064,102.209,0.0,2.0499999999999545
1344.86,4.72,29.223,102.275,-9000.0,0.8400000000001455
1345.7,4.75,27.864,102.271,0.0,0.10999999999989996
1345.81,5.615,25.885,103.256,0.0,0.8099999999999454
1346.62,5.611,23.406,102.881,0.0,1.6200000000001182
1348.24,4.746,23.868,103.051,0.0,0.30999999999994543
1348.55,4.754,29.277,102.278,0.0,1.5499999999999545
1350.1,4.746,23.355,102.862,0.0,0.5700000000001637
1350.67,4.75,23.946,103.076,0.0,1.3999999999998636
1352.07,5.612,23.355,102.862,-3000.0,0.6100000000001273
1352.68,4.98,25.91,103.245,0.0,0.21000000000003638
1352.89,6.649,29.196,102.273,-12000.0,3.019999999999982
1355.91,6.368,25.779,103.263,0.0,0.049999999999954525
1355.96,5.178,27.84,102.283,0.0,0.3999999999998636
1356.36,6.356,25.32,103.226,0.0,0.7700000000002092
1357.13,5.181,23.381,102.872,0.0,0.2999999999999545
1357.43,5.148,26.873,102.863,-3000.0,0.5799999999999272
1358.01,4.75,25.779,103.263,0.0,0.2599999999999909
1358.27,4.715,23.278,102.834,-6000.0,1.25
1359.52,4.747,27.025,102.759,0.0,0.05999999999994543
